Rk,Year,Date,Region,Round,School,PTS,Opponent,PTS,OT,Diff,Location
141,2018,March 23 2018,East,Regional Semifinal,3 Texas Tech,78,2 Purdue,65,,+13,Boston MA
142,2018,March 23 2018,Midwest,Regional Semifinal,1 Kansas,80,5 Clemson,76,,+4,Omaha NE
143,2018,March 23 2018,Midwest,Regional Semifinal,2 Duke,69,11 Syracuse,65,,+4,Omaha NE
144,2018,March 23 2018,East,Regional Semifinal,1 Villanova,90,5 West Virginia,78,,+12,Boston MA
145,2018,March 22 2018,South,Regional Semifinal,9 Kansas State,61,5 Kentucky,58,,+3,Atlanta GA
146,2018,March 22 2018,South,Regional Semifinal,11 Loyola (IL),69,7 Nevada,68,,+1,Atlanta GA
147,2018,March 22 2018,West,Regional Semifinal,3 Michigan,99,7 Texas A&M,72,,+27,Los Angeles CA
148,2018,March 22 2018,West,Regional Semifinal,9 Florida State,75,4 Gonzaga,60,,+15,Los Angeles CA
149,2018,March 18 2018,South,Second Round,7 Nevada,75,2 Cincinnati,73,,+2,Nashville TN
150,2018,March 18 2018,South,Second Round,9 Kansas State,50,16 UMBC,43,,+7,Charlotte NC
151,2018,March 18 2018,Midwest,Second Round,5 Clemson,84,4 Auburn,53,,+31,San Diego CA
152,2018,March 18 2018,Midwest,Second Round,11 Syracuse,55,3 Michigan State,53,,+2,Detroit MI
153,2018,March 18 2018,West,Second Round,9 Florida State,75,1 Xavier,70,,+5,Nashville TN
154,2018,March 18 2018,East,Second Round,2 Purdue,76,10 Butler,73,,+3,Detroit MI
155,2018,March 18 2018,West,Second Round,7 Texas A&M,86,2 UNC,65,,+21,Charlotte NC
156,2018,March 18 2018,East,Second Round,5 West Virginia,94,13 Marshall,71,,+23,San Diego CA
157,2018,March 17 2018,Midwest,Second Round,1 Kansas,83,8 Seton Hall,79,,+4,Wichita KS
158,2018,March 17 2018,West,Second Round,3 Michigan,64,6 Houston,63,,+1,Wichita KS
159,2018,March 17 2018,East,Second Round,3 Texas Tech,69,6 Florida,66,,+3,Dallas TX
160,2018,March 17 2018,Midwest,Second Round,2 Duke,87,7 Rhode Island,62,,+25,Pittsburgh PA
161,2018,March 17 2018,South,Second Round,11 Loyola (IL),63,3 Tennessee,62,,+1,Dallas TX
162,2018,March 17 2018,East,Second Round,1 Villanova,81,9 Alabama,58,,+23,Pittsburgh PA
163,2018,March 17 2018,South,Second Round,5 Kentucky,95,13 Buffalo,75,,+20,Boise ID
164,2018,March 17 2018,West,Second Round,4 Gonzaga,90,5 Ohio State,84,,+6,Boise ID
